label,title,content
0,AarhusKarlshamn, AarhusKarlshamn AB (publ.) operating as AAK is a Swedish-Danish company and producer of high-value added vegetable oils and fats.</small>The company's products are used in a wide variety of applications in the food confectionery pharmaceutical cosmetic chemical and animal feed industries. </small>The company was founded in 2005 through the merger of Karlshamns AB (founded 1918 in Karlshamn Sweden) and Aarhus United A/S (founded 1871 in Aarhus Denmark).
0,ATMA Classique, ATMA Classique is a Canadian record label based in Montreal Quebec. Founded in 1995 the company has over 300 titles in its catalogue and distributes in over 25 countries and on the internet. Several recordings released by the company have won Juno and Felix Awards.
0,Sire Advertising, Sire Advertising is a full-service advertising agency based in Selinsgrove Pennsylvania specializing in marketing logo design web development tradeshow displays and custom imprinted solutions. Sire has received a number of national design awards including American Corporate Identity Graphic Design USA Logo Lounge III and Summit Awards. In 2005 The Central Pennsylvania Chamber of Commerce selected Sire Advertising as its Small Business of the Year.
0,Frente Obrero, Frente Obrero (Spanish for 'Workers Front') a national trade union centre in Nicaragua. FO was founded circa 1972-74 as the trade union wing of the pro-Albanian MAP-ML.When the National Reconstruction Government was formed on July 19 1979 FO had one of 33 representatives in the Council of State.
0,Similarweb, SimilarWeb is a web ranking and competitive analysis tool developed by SimilarGroup. It is an online service that provides traffic activity for a given domain such as website ranking traffic source breakdowns leading referring sites top keywords and geographic breakdown. In June 2013 the Tel Aviv Israel based start-up released a paid version of the service SimilarWeb PRO that provides more in-depth analysis of websites for competitive intelligence purposes.
0,Shanda, Shanda Interactive Entertainment Limited (or Shanda Interactive) (Chinese: 盛大互动娱乐有限公司; pinyin: Shèngdà Hùdòng Yúlè Yǒuxiàn Gōngsī) is a Chinese operator of online games and book publisher based in Shanghai established in December 1999 by Chen Tianqiao and Chen Danian. In 2005 it claimed to have 460 million registered accounts and an average of 1.2 million players at any given time. Its 2004 listing on the US-based NASDAQ stock exchange raised $151.8 million USD.
0,Clayton Dubilier & Rice, Clayton Dubilier & Rice is one of the oldest private equity investment firms in the world. Founded in 1978 CD&R has managed the investment of approximately $17 billion in 52 businesses—mostly subsidiaries or divisions of large multi-business corporations—representing a broad range of industries with an aggregate transaction value in excess of $80 billion. Approximately sixty percent of CD&R's transactions have involved corporate divestitures.
0,Pappas Group, The Pappas Group is an interactive strategy design and branding agency located in the Washington DC area. The agency offers brand consulting creation and execution for companies and organizations across a multitude of verticals.
0,Asbury Automotive Group, Asbury Automotive Group is a Fortune 500 company based in Atlanta and was founded in 1995. The company operates auto dealerships in various parts of the United States. In 2006 it ranked 364 out of 500 As of September 2012 it is one of the largest automobile retailers in the United States operating 97 franchises (77 dealership locations) in 18 metropolitan markets within 10 states. As of December 2011 its dealerships represent 30 American European and Asian brands.
0,Easton Press, Easton Press a division of MBI Inc. based in Norwalk Connecticut is a publisher specializing in high-quality leather-bound books. In addition to canonical classics poetry and art books they publish a large library of science fiction and popular literature as well.Some of Easton Press's products are arranged in series to which a customer can subscribe receiving a new book every month.
0,Temple Hotels, Temple Hotels Inc. is an open-ended real estate investment trust that owns hotels on the Canadian Prairies and Far North. Most of the companies hotels are located in the Fort McMurray area.
0,Berkshire Hathaway GUARD Insurance Companies, Berkshire Hathaway GUARD Insurance Companies are A.M. Best rated A+ (“SUPERIOR”) and specialize in providing insurance coverage to small- and mid-sized businesses across the country. Products are available through the independent agents and brokers representing the company. In 2013 Berkshire Hathaway GUARD’s insurance subsidiaries (AmGUARD EastGUARD NorGUARD and WestGUARD Insurance Companies) insured 73000 businesses.
0,Air Mali (1960–89), Société Nationale Air Mali or Air Mali as it was most commonly known was the former national airline of the Republic of Mali. It had its head office in Bamako.
0,Fragment Factory, Fragment Factory is an independent record label and mailorder based in Hamburg Germany founded in summer of 2009 by Michael Muennich (*1980). The label specializes in releasing Experimental music in the broadest sense including Electro-acoustic music Noise and its several sub-categories. The output of Fragment Factory has been published on different formats such as cassette vinyl CD / CD-R and comprises works by international sound artists from Europe USA and Japan.
0,Guineys, Guineys (or Michael Guineys) is an Irish department store. The store specialises in Homewares Menswear Ladieswear and Kids clothing. They have 9 stores in the Republic of Ireland in Dublin Limerick Waterford Castlebar Tralee Cork and Clonmel. The company was established in 1971.
0,Everyday Health, Everyday Health Inc. is a digital media company which owns websites and produces content relating to health and wellness.
0,Ziggo, Ziggo is the largest cable operator in the Netherlands providing cable television (digital and analog) broadband Internet and telephone service to both residential and commercial customers.
